Abacá [fibra têxtil],22;
Abacate fresco,31;
Abacaxi fresco,31;
Ábaco de brinquedo,28;
Abóbada de fornalha industrial,11;
Abraçadeira de fixação [ferragem],6;
Abrasivo [tecido],3;
Abridor de boca [instrumento odontológico],10;
Abridor de caixa não elétrico [ferramenta],8;
Abridor de carta não elétrico,16;
Abrigo pré-fabricado não metálico,19;
Abrina [insumo farmacêutico],1;
Absinto [bebida alcoólica],33;
Absinto [erva in natura],31;
Absinto [insumo industrial],1;
Absorvente para incontinência urinária,5;
Absorvente para uso pós-operatório,5;
Absorvente para uso pós-parto,5;
Acarajé,30;
Acelerador linear de elétron,9;
Acelerador químico,1;
Acelga fresca,31;
Acendalha [material de estopim para conseguir fogo],4;
Acendedor para fogão elétrico,11;
Acendedor para fogão não elétrico,11;
Acendedor para máquina de explosão,11;
Acetato [fibra têxtil],22;
Acetato de policloreto de vinila [PVC] para indústria,1;
Acetificador [aparelho],11;
Acetona para uso industrial,1;
Acetona [removedor de esmalte de unhas],3;
Achocolatado em pó para bebida [preparações para fazer bebidas],32;
Ácido ascórbico para alimentos,1;
Ácido clorídrico,1;
Ácido muriático [ácido clorídrico na forma impura],1;
Ácido para conservação de fruta ou legume,1;
Ácido propiônico para alimentos,1;
Ácido sórbico para alimentos,1;
Ácidos para conservação de alimentos,1;
Aço,6;
Aço de cadinho,6;
Aço doce [ferro doce],6;
Aço estirado,6;
Aço galvanizado,6;
Aço laminado,6;
Aço não plano,6;
Aço para cimentação,6;
Aço para trilho,6;
Aço plano,6;
Aço rápido,6;
Aço soldado,6;
Acolchoado [roupa de cama],24;
Acolchoado para muleta,10;
Acolchoado de piso para prática de esporte,20;
Acolchoado usado como cobertura para cama,24;
Acolchoado usado como protetor para berço [almofada],20;
Açúcar de fécula,30;
Açúcar líquido,30;
Adereço adesivo para aplicação em roupa,26;
Adesivo de uso médico para cicatrização,5;
Adesivo natural para uso industrial,1;
Adesivo odontológico,5;
Adesivo para aplicação em roupa quente ou frio,26;
Adesivo para chapisco,1;
Adesivo para junta de motor,17;
Adesivo para limpar roupa,3;
Adesivo para reparar produto partido,1;
Aditivo biotecnológico para aumentar a resistência da celulose e do papel,1;
Aditivo composto para a indústria de panificação,1;
Aditivo para a indústria têxtil,1;
Aditivo para bateria,1;
Aditivo químico para concreto e argamassa de uso na indústria,1;
Aditivo químico para laticínio,1;
Aditivo químico para melhorar a aderência da pintura à base de cal,1;
Aditivo químico usado na indústria gráfica,1;
Aditivos químicos de uso industrial para prevenção de bolor em alimentos,1;
Aditivos químicos estabilizantes para alimentos, de uso industrial,1;
Adobe [tijolo seco ao sol],19;
Aduela de madeira para janelas,19;
Aduela de madeira para portas,19;
Aduela de pedra para estruturas em arco,19;
Aeroplano,12;
Aeroplano de brinquedo,28;
Afastador cirúrgico,10;
Afiador de corda manual,8;
Afiador elétrico para instrumento de corte,7;
Afiador manual para instrumento de corte [acionado por força muscular],8;
Afiadora [máquina para afiar ferramenta],7;
Afiadores de velas,8;
Agenda,16;
Agente alisador para tinta,2;
Agente de aeração para bolo,1;
Agente espessante para alimentos, de uso industrial,1;
Agentes conservantes para tintas [insumo industrial],1;
Agitador de tubos tipo vortex,9;
Agitador metálico para líquido revestido de vidro [dispositivos industriais],7;
